"Weight.class","Winner","Loser","Method","Round","Time","Method.details"
"Heavyweight","Jorge Gurgel","Danny Abbadi","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Lightweight","Tyson Griffin","David Lee","Submission","1","1:50","(rear-naked choke)"
"Light Heavyweight","Chuck Liddell (c)","Renato Sobral","TKO","1","1:35","(punches)"
"Light Heavyweight","Forrest Griffin","Stephan Bonnar","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Nick Diaz","Josh Neer","Submission","3","1:42","(kimura)"
"Heavyweight","Cheick Kongo","Christian Wellisch","KO","1","2:51","(knee)"
"Lightweight","Hermes Franca","Jamie Varner","Submission","3","3:31","(armbar)"
"Light Heavyweight","Eric Schafer","Rob MacDonald","Submission","1","2:26","Technical  (arm-triangle choke)"
"Light Heavyweight","Wilson Gouveia","Wes Combs","Submission","1","3:23","(rear-naked choke)"
"Light Heavyweight","David Heath","Cory Walmsley","Submission","1","2:32","(rear-naked choke)"
"Middleweight","Yushin Okami","Alan Belcher","Decision","3","5:00","(unanimous) (29–28, 30–27, 30–27)"
"Welterweight","Diego Sanchez","Karo Parisyan","Decision","3","5:00","(unanimous) (29–28, 29–28, 30–26)"
"Middleweight","Chris Leben","Jorge Santiago","KO","2","0:35","(punch)"
"Middleweight","Dean Lister","Yuki Sasaki","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Josh Koscheck","Jonathan Goulet","Submission","1","4:10","(punches)"
"Middleweight","Martin Kampmann","Crafton Wallace","Submission","1","2:59","(rear-naked choke)"
"Welterweight","Joe Riggs","Jason Von Flue","Submission","1","2:01","(triangle choke)"
"Heavyweight","Jake O'Brien","Kristof Midoux","TKO","2","0:52","(punches)"
"Welterweight","Forrest Petz","Sam Morgan","Decision","3","5:00","(unanimous) (30–27, 30–26, 30–23)"
"Welterweight","Anthony Torres","Pat Healy","Submission","1","2:37","(rear-naked choke)"
"Heavyweight","Tim Sylvia (c)","Andrei Arlovski","Decision","5","5:00","(unanimous) (48–47, 49–46, 48–47)"
"Welterweight","Josh Burkman","Josh Neer","Decision","3","5:00","(unanimous) (29–28, 30–27, 29–28)"
"Light Heavyweight","Tito Ortiz","Ken Shamrock","TKO","1","1:18","(elbows)"
"Heavyweight","Frank Mir","Dan Christison","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Lightweight","Joe Stevenson","Yves Edwards","TKO","2","5:00","(doctor stoppage)"
"Catchweight (165 lb)","Hermes França","Joe Jordan","Submission","3","0:47","(triangle choke)"
"Heavyweight","Jeff Monson","Anthony Perosh","TKO","1","2:42","(punches)"
"Heavyweight","Cheick Kongo","Gilbert Aldana","TKO","1","4:13","(doctor stoppage)"
"Welterweight","Drew Fickett","Kurt Pellegrino","Submission","3","1:20","(rear-naked choke)"
"Welterweight","Jonathan Goulet","Luke Cummo","Decision","3","5:00","(Majority) (30-27, 30-27, 29-29)"
"Middleweight","Anderson Silva","Chris Leben","KO","1","0:49","(Knee)"
"Light Heavyweight","Rob MacDonald","Kristian Rothaermel","Submission","1","4:01","(Armbar)"
"Light Heavyweight","Rashad Evans","Stephan Bonnar","Decision","3","5:00","(Majority) (30-27, 29-28, 29-29)"
"Lightweight","Mark Hominick","Jorge Gurgel","Decision","3","5:00","(Unanimous) (29-28, 29-28, 29-28)"
"Welterweight","Josh Koscheck","Dave Menne","Decision","3","5:00","(Unanimous)"
"Light Heavyweight","Jason Lambert","Branden Lee Hinkle","TKO","1","5:00","(Punches)"
"Welterweight","Jon Fitch","Thiago Alves","TKO","2","4:37","(Upkick and Punches)"
"Middleweight","Jorge Santiago","Justin Levens","KO","1","2:13","(Knee)"
"Lightweight","Kenny Florian","Sam Stout","Submission","1","1:46","(rear naked choke)"
"Light Heavyweight","Michael Bisping","Josh Haynes","TKO","2","4:14","(punches)"
"Middleweight","Kendall Grove","Ed Herman","Decision","3","5:00","(unanimous)"
"Light Heavyweight","Keith Jardine","Wilson Gouveia","Decision","3","5:00","(unanimous)"
"Middleweight","Rory Singer","Ross Pointon","Submission","1","0:44","(triangle choke)"
"Middleweight","Kalib Starnes","Danny Abbadi","Submission","1","2:56","(rear naked choke)"
"Middleweight","Luigi Fioravanti","Solomon Hutcherson","KO","1","4:15","(punch)"
"Light Heavyweight","Matt Hamill","Jesse Forbes","TKO","1","4:47","(punches)"
"Light Heavyweight","Mike Nickels","Wes Combs","Submission","1","3:10","(rear naked choke)"
"Catchweight (175 lb)","Matt Hughes","Royce Gracie","TKO","1","4:39","(punches)"
"Light Heavyweight","Dean Lister","Alessio Sakara","Submission","1","2:20","(triangle choke)"
"Welterweight","Diego Sanchez","John Alessio","Decision","3","5:00","(unanimous) (30–27, 29–28, 29–28)"
"Heavyweight","Brandon Vera","Assuerio Silva","Submission","1","2:39","(guillotine choke)"
"Middleweight","Mike Swick","Joe Riggs","Submission","1","2:19","(guillotine choke)"
"Middleweight","Jeremy Horn","Chael Sonnen","Submission","2","1:17","(armbar)"
"Lightweight","Spencer Fisher","Matt Wiman","KO","2","1:43","(flying knee)"
"Heavyweight","Gabriel Gonzaga","Fabiano Scherner","TKO","2","0:24","(punches)"
"Lightweight","Melvin Guillard","Rick Davis","KO","1","1:37","(punch)"
"Heavyweight","Tim Sylvia","Andrei Arlovski (c)","TKO","1","2:43","(punches)"
"Welterweight","Sean Sherk","Nick Diaz","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Light Heavyweight","Tito Ortiz","Forrest Griffin","Decision","3","5:00","(split) (30–27, 28–29, 29–27)"
"Middleweight","Evan Tanner","Justin Levens","Submission","1","3:14","(triangle choke)"
"Heavyweight","Jeff Monson","Marcio Cruz","Decision","3","5:00","(split) (30–27, 29–28, 28–29)"
"Welterweight","Karo Parisyan","Nick Thompson","Submission","1","4:44","(punches)"
"Middleweight","David Terrell","Scott Smith","Submission","1","3:08","(rear-naked choke)"
"Light Heavyweight","Jason Lambert","Terry Martin","TKO","2","2:37","(punches)"
"Welterweight","Thiago Alves","Derrick Noble","TKO","1","2:54","(punches)"
"Light Heavyweight","Stephan Bonnar","Keith Jardine","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Light Heavyweight","Rashad Evans","Sam Hoger","Decision","3","5:00","(split) (28–29, 30–27, 29–28)"
"Welterweight","Josh Neer","Joe Stevenson","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Middleweight","Chris Leben","Luigi Fioravanti","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Luke Cummo","Jason Von Flue","Decision","3","5:00","(unanimous) (30–27, 30–26, 30–27)"
"Welterweight","Jon Fitch","Josh Burkman","Submission","2","4:57","(rear-naked choke)"
"Heavyweight","Dan Christison","Brad Imes","Submission","3","3:37","(armbar)"
"Welterweight","Josh Koscheck","Ansar Chalangov","Submission","1","3:29","(rear-naked choke)"
"Middleweight","Chael Sonnen","Trevor Prangley","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Middleweight","Rich Franklin (c)","David Loiseau","Decision","5","5:00","(unanimous) (50–43, 50–43, 50–42)"
"Middleweight","Mike Swick","Steve Vigneault","Submission","1","2:09","(guillotine choke)"
"Welterweight","Georges St. Pierre","B.J. Penn","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Middleweight","Nate Marquardt","Joe Doerksen","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Lightweight","Mark Hominick","Yves Edwards","Submission","2","1:52","(triangle armbar)"
"Lightweight","Sam Stout","Spencer Fisher","Decision","3","5:00","(split) (29–28, 29–28, 28–29)"
"Light Heavyweight","Jason Lambert","Rob MacDonald","Submission","1","1:54","(kimura)"
"Heavyweight","Tom Murphy","Icho Larenas","TKO","3","1:59","(punches)"
"Light Heavyweight","Chuck Liddell (c)","Randy Couture","KO","2","1:28","(punches)"
"Heavyweight","Brandon Vera","Justin Eilers","KO","1","1:25","(head kick and knee)"
"Heavyweight","Marcio Cruz","Frank Mir","TKO","1","4:10","(punches and elbows)"
"Light Heavyweight","Renato Sobral","Mike Van Arsdale","Submission","1","2:21","(rear-naked choke)"
"Welterweight","Joe Riggs","Nick Diaz","Decision","3","5:00","(unanimous) (29–28, 29–28, 30–27)"
"Light Heavyweight","Alessio Sakara","Elvis Sinosic","Decision","3","5:00","(unanimous) (29–25, 29–26, 29–26)"
"Heavyweight","Paul Buentello","Gilbert Aldana","TKO","2","2:27","(punches)"
"Heavyweight","Jeff Monson","Branden Lee Hinkle","Submission","1","4:35","Technical  (north-south choke)"
"Light Heavyweight","Keith Jardine","Mike Whitehead","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Heavyweight","Tim Sylvia","Assuerio Silva","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Light Heavyweight","Stephan Bonnar","James Irvin","Submission","1","4:30","(kimura)"
"Welterweight","Josh Burkman","Drew Fickett","Submission","1","1:07","(guillotine choke)"
"Middleweight","Chris Leben","Jorge Rivera","TKO","1","1:44","(punches)"
"Welterweight","Josh Neer","Melvin Guillard","Submission","1","4:20","(triangle choke)"
"Welterweight","Duane Ludwig","Jonathan Goulet","TKO","1","0:06","(punch)"
"Welterweight","Spencer Fisher","Aaron Riley","TKO","1","5:00","(doctor stoppage)"
"Welterweight","Jason Von Flue","Alex Karalexis","Submission","3","1:17","Technical  (Von Flue choke)"
"Middleweight","Rich Franklin (c)","Nate Quarry","KO","1","2:34","(punch)"
"Heavyweight","Gabriel Gonzaga","Kevin Jordan","KO","3","4:39","(superman punch)"
"Welterweight","Matt Hughes (c)","Joe Riggs","Submission","1","3:28","(kimura)"
"Welterweight","Georges St. Pierre","Sean Sherk","TKO","2","2:53","(punches and elbows)"
"Middleweight","Jeremy Horn","Trevor Prangley","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Light Heavyweight","Sam Hoger","Jeff Newton","Submission","2","2:05","(rear-naked choke)"
"Welterweight","Thiago Alves","Ansar Chalangov","TKO","1","2:25","(punches)"
"Welterweight","Nick Thompson","Keith Wisniewski","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Diego Sanchez","Nick Diaz","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Heavyweight","Rashad Evans","Brad Imes","Decision","3","5:00","(split) (29–28, 29–28, 28–29)"
"Welterweight","Joe Stevenson","Luke Cummo","Decision","3","5:00","(unanimous) (29–28, 30–27, 29–28)"
"Welterweight","Kenny Florian","Kit Cope","Submission","2","0:37","(rear-naked choke)"
"Welterweight","Josh Burkman","Sam Morgan","KO","1","0:21","(slam)"
"Welterweight","Melvin Guillard","Marcus Davis","TKO","2","2:55","(doctor stoppage)"
"Heavyweight","Keith Jardine","Kerry Schall","TKO","2","3:28","(leg kicks)"
"Heavyweight","Andrei Arlovski (c)","Paul Buentello","KO","1","0:15","(punch)"
"Heavyweight","Branden Lee Hinkle","Sean Gannon","TKO","1","4:14","(punches)"
"Light Heavyweight","Forrest Griffin","Elvis Sinosic","TKO","1","3:22","(punches)"
"Light Heavyweight","Renato Sobral","Chael Sonnen","Submission","2","1:20","(triangle choke)"
"Welterweight","Joe Riggs","Chris Lytle","TKO","2","2:00","(cut)"
"Middleweight","Jorge Rivera","Dennis Hallman","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Heavyweight","Marcio Cruz","Keigo Kunihara","Submission","2","1:02","(rear-naked choke)"
"Light Heavyweight","Alessio Sakara","Ron Faircloth","No Contest","2","0:10","(groin kick)"
"Middleweight","David Loiseau","Evan Tanner","TKO","2","4:15","(doctor stoppage)"
"Middleweight","Chris Leben","Edwin Dewees","Submission","1","3:26","(armbar)"
"Heavyweight","Brandon Vera","Fabiano Scherner","TKO","2","3:22","(knees)"
"Welterweight","Drew Fickett","Josh Koscheck","Submission","3","4:28","Technical  (rear-naked choke)"
"Welterweight","Spencer Fisher","Thiago Alves","Submission","2","4:43","(triangle choke)"
"Middleweight","Jon Fitch","Brock Larson","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Jonathan Goulet","Jay Hieron","TKO","3","1:05","(doctor stoppage)"
"Light Heavyweight","Chuck Liddell (c)","Jeremy Horn","TKO","4","2:46","(Punches)"
"Heavyweight","Tim Sylvia","Tra Telligman","KO","1","4:59","(Head Kick)"
"Light Heavyweight","Randy Couture","Mike Van Arsdale","Submission","3","0:52","(Anaconda Choke)"
"Welterweight","Diego Sanchez","Brian Gassaway","Submission","2","1:56","(Punches)"
"Welterweight","Georges St. Pierre","Frank Trigg","Submission","1","4:09","(Rear-Naked Choke)"
"Middleweight","Matt Lindland","Joe Doerksen","Decision","3","5:00","(Unanimous)"
"Middleweight","Trevor Prangley","Travis Lutter","Decision","3","5:00","(Unanimous)"
"Light Heavyweight","James Irvin","Terry Martin","KO","2","0:09","(Flying Knee)"
"Middleweight","Nate Marquardt","Ivan Salaverry","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Middleweight","Chris Leben","Patrick Cote","Decision","3","5:00","(split) (29–28, 30–27, 27–29)"
"Light Heavyweight","Stephan Bonnar","Sam Hoger","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Middleweight","Nate Quarry","Pete Sell","TKO","1","0:42","(punch)"
"Welterweight","Josh Koscheck","Pete Spratt","Submission","1","1:53","(rear-naked choke)"
"Middleweight","Mike Swick","Gideon Ray","TKO","1","0:22","(punches)"
"Welterweight","Kenny Florian","Alex Karalexis","TKO","2","2:52","(doctor stoppage)"
"Welterweight","Drew Fickett","Josh Neer","Submission","1","1:35","Technical  (rear-naked choke)"
"Heavyweight","Andrei Arlovski (ic)","Justin Eilers","TKO","1","4:10","(punches)"
"Welterweight","Karo Parisyan","Matt Serra","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Middleweight","Rich Franklin","Evan Tanner (c)","TKO","4","3:25","(doctor stoppage)"
"Light Heavyweight","Forrest Griffin","Bill Mahood","Submission","1","2:18","(rear-naked choke)"
"Heavyweight","Paul Buentello","Kevin Jordan","Submission","1","4:00","(guillotine choke)"
"Middleweight","Nate Quarry","Shonie Carter","TKO","1","2:37","(punches)"
"Middleweight","David Loiseau","Charles McCarthy","TKO","2","2:10","(spinning back kick and flying knee)"
"Welterweight","Nick Diaz","Koji Oishi","KO","1","1:24","(punches)"
"Light Heavyweight","Chuck Liddell","Randy Couture (c)","KO","1","2:06","(Punches)"
"Light Heavyweight","Renato Sobral","Travis Wiuff","Submission","2","0:24","(Armbar)"
"Welterweight","Matt Hughes (c)","Frank Trigg","Submission","1","4:05","(Rear-Naked Choke)"
"Middleweight","Matt Lindland","Travis Lutter","Submission","2","3:15","(Guillotine Choke)"
"Welterweight","Georges St-Pierre","Jason Miller","Decision","3","5:00","(Unanimous)"
"Middleweight","Ivan Salaverry","Joe Riggs","Submission","1","2:42","(Triangle Choke)"
"Middleweight","Joe Doerksen","Patrick Cote","Submission","3","2:35","(Rear-Naked Choke)"
"Light Heavyweight","Mike Van Arsdale","John Marsh","Decision","3","5:00","(Unanimous)"
"Light Heavyweight","Chuck Liddell","Randy Couture (c)","KO","1","2:06","(punches)"
"Light Heavyweight","Tito Ortiz","Vitor Belfort","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Middleweight","Pete Sell","Phil Baroni","Submission","3","4:19","(guillotine choke)"
"Heavyweight","Andrei Arlovski","Tim Sylvia","Submission","1","0:47","(achilles lock)"
"Middleweight","Evan Tanner","David Terrell","TKO","1","4:35","(punches)"
"Heavyweight","Paul Buentello","Justin Eilers","KO","1","3:34","(punch)"
"Heavyweight","Mike Kyle","James Irvin","KO","1","1:55","(punch)"
"Middleweight","David Loiseau","Gideon Ray","TKO","1","5:00","(doctor stoppage)"
"Welterweight","Karo Parisyan","Chris Lytle","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Nick Diaz","Drew Fickett","TKO","1","4:40","(punches)"
"Light Heavyweight","Tito Ortiz","Patrick Côté","Decision","3","5:00","(Unanimous)"
"Middleweight","Rich Franklin","Jorge Rivera","Submission","3","4:28","(Armbar)"
"Welterweight","Matt Hughes","Georges St-Pierre","Submission","1","4:59","(Armbar)"
"Welterweight","Frank Trigg","Renato Verissimo","TKO","2","2:11","(Elbows)"
"Middleweight","Evan Tanner","Robbie Lawler","Submission","1","2:22","(Triangle Choke)"
"Middleweight","Ivan Salaverry","Tony Fryklund","Submission","1","1:36","(Body Lock)"
"Light Heavyweight","Travis Lutter","Marvin Eastman","KO","2","0:43","(Punch)"
"Light Heavyweight","Randy Couture","Vitor Belfort (c)","TKO","3","5:00","(Doctor stoppage)"
"Middleweight","Joe Riggs","Joe Doerksen","Submission","2","3:39","(Elbows)"
"Light Heavyweight","Chuck Liddell","Vernon White","KO","1","4:05","(Punch)"
"Middleweight","David Terrell","Matt Lindland","KO","1","0:24","(Punches)"
"Heavyweight","Justin Eilers","Mike Kyle","KO","1","1:14","(Punch)"
"Welterweight","Chris Lytle","Ronald Jhun","Submission","2","1:17","(Guillotine Choke)"
"Welterweight","Karo Parisyan","Nick Diaz","Decision","3","5:00","(Split)"
"Lightweight","Yves Edwards","Josh Thomson","KO","1","4:32","(Flying Head Kick and Punches)"
"Heavyweight","Ken Shamrock","Kimo Leopoldo","KO","1","1:26","(knee)"
"Welterweight","Frank Trigg","Dennis Hallman","TKO","1","4:15","(punches)"
"Heavyweight","Frank Mir","Tim Sylvia","Submission","1","0:50","Technical  (armbar)"
"Welterweight","Matt Hughes","Renato Verissimo","Decision","3","5:00","(unanimous)"
"Middleweight","Evan Tanner","Phil Baroni","Decision","3","5:00","(unanimous)"
"Lightweight","Matt Serra","Ivan Menjivar","Decision","3","5:00","(unanimous)"
"Middleweight","Trevor Prangley","Curtis Stout","Submission","2","1:05","(neck crank)"
"Welterweight","Georges St-Pierre","Jay Hieron","TKO","1","1:42","(punches)"
"Light Heavyweight","Chuck Liddell","Tito Ortiz","KO","2","0:38","(punches)"
"Welterweight","Chris Lytle","Tiki Ghosn","Submission","2","1:55","(bulldog choke)"
"Lightweight","Yves Edwards","Hermes Franca","Decision","3","5:00","(split) (29–28, 29–28, 28–29)"
"Heavyweight","Andrei Arlovski","Wesley Correira","TKO","2","1:15","(punches)"
"Welterweight","Nick Diaz","Robbie Lawler","KO","2","1:31","(punch)"
"Heavyweight","Mike Kyle","Wes Sims","KO","1","4:59","(punch)"
"Heavyweight","Jonathan Wiezorek","Wade Shipp","TKO","1","4:40","(punches)"
"Lightweight","Genki Sudo","Mike Brown","Submission","1","3:31","(triangle armbar)"
"Light Heavyweight","Vitor Belfort","Randy Couture (c)","TKO","1","0:54","(Doctor Stoppage)"
"Welterweight","B.J. Penn","Matt Hughes (c)","Submission","1","4:37","(rear-naked choke)"
"Heavyweight","Frank Mir","Wes Sims","KO","2","4:21","(knee and punches)"
"Catchweight (175 lb)","Renato Verissimo","Carlos Newton","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Middleweight","Lee Murray","Jorge Rivera","Submission","1","1:45","(triangle armbar)"
"Welterweight","Georges St-Pierre","Karo Parisyan","Decision","3","5:00","(unanimous) (29–28, 30–27, 30–27)"
"Lightweight","Josh Thomson","Hermes Franca","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Lightweight","Matt Serra","Jeff Curran","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Matt Hughes (c)","Frank Trigg","Submission","1","3:54","(standing rear-naked choke)"
"Middleweight","Matt Lindland","Falaniko Vitale","Submission","3","4:23","(punches)"
"Heavyweight","Wesley Correira","David Abbott","TKO","1","2:14","(doctor stoppage)"
"Middleweight","Evan Tanner","Phil Baroni","TKO","1","4:42","(punches)"
"Welterweight","Robbie Lawler","Chris Lytle","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Heavyweight","Pedro Rizzo","Ricco Rodriguez","Decision","3","5:00","(unanimous) (30–27, 29–28, 30–27)"
"Middleweight","Keith Rockel","Chris Liguori","Submission","1","3:29","(guillotine choke)"
"Lightweight","Yves Edwards","Nick Agallar","TKO","2","2:14","(punches)"
"Light Heavyweight","Randy Couture (ic)","Tito Ortiz (c)","Decision","5","5:00","(Unanimous)"
"Heavyweight","Tim Sylvia (c)","Gan McGee","TKO","1","1:54","(Punches)"
"Heavyweight","Andrei Arlovski","Vladimir Matyushenko","KO","1","1:59","(Punch)"
"Middleweight","Jorge Rivera","David Loiseau","Decision","3","5:00","(Unanimous)"
"Light Heavyweight","Rich Franklin","Edwin Dewees","TKO","1","3:35","(Punches and Knees)"
"Welterweight","Karo Parisyan","Dave Strasser","Submission","1","3:52","(Kimura)"
"Lightweight","Josh Thomson","Gerald Strebendt","KO","1","2:45","(Punches)"
"Welterweight","Nick Diaz","Jeremy Jackson","Submission","3","2:04","(Armbar)"
"Lightweight","Hermes Franca","Caol Uno","KO","2","2:46","(Punch)"
"Light Heavyweight","Randy Couture","Chuck Liddell","TKO","3","2:39","(Punches)"
"Heavyweight","Kimo Leopoldo","David Abbott","Submission","1","1:59","(Arm Triangle Choke)"
"Light Heavyweight","Vitor Belfort","Marvin Eastman","TKO","1","1:07","(Knees and Punches)"
"Heavyweight","Vernon White","Ian Freeman","Draw","3","5:00",""
"Heavyweight","Frank Mir","Wes Sims","Disqualification","1","2:55","(Kicking a Downed Opponent)"
"Heavyweight","Pedro Rizzo","Tra Telligman","TKO","2","4:24","(Doctor Stoppage)"
"Middleweight","Falaniko Vitale","Matt Lindland","TKO","1","1:56","(Slam)"
"Lightweight","Yves Edwards","Eddie Ruiz","Decision","3","5:00","(Unanimous)"
"Welterweight","Matt Hughes (c)","Sean Sherk","Decision","5","5:00","(unanimous) (49–46, 48–47, 48–45)"
"Welterweight","Pete Spratt","Robbie Lawler","Submission","2","2:28","(injury)"
"Welterweight","Dave Strasser","Romie Aram","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Heavyweight","Wesley Correira","Sean Alvarez","TKO","2","1:46","(knees and punches)"
"Light Heavyweight","Rich Franklin","Evan Tanner","TKO","1","2:40","(punches)"
"Lightweight","Duane Ludwig","Genki Sudo","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Lightweight","Hermes Franca","Rich Crunkilton","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Middleweight","David Loiseau","Mark Weir","KO","1","3:55","(punches)"
"Heavyweight","Tim Sylvia","Ricco Rodriguez (c)","TKO","1","3:09","(punches)"
"Heavyweight","Frank Mir","David Abbott","Submission","1","0:46","(toe hold)"
"Lightweight","B.J. Penn","Caol Uno","Draw","5","5:00","(split) (48–46, 47–48, 48–48)"
"Middleweight","Matt Lindland","Phil Baroni","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Heavyweight","Vladimir Matyushenko","Pedro Rizzo","Decision","3","5:00","(unanimous) (29–28, 30–27, 29–28)"
"Lightweight","Din Thomas","Matt Serra","Decision","3","5:00","(split)"
"Heavyweight","Gan McGee","Alexandre Dantas","TKO","1","4:49","(punches)"
"Lightweight","Yves Edwards","Rich Clementi","Submission","3","4:07","(rear-naked choke)"
"Light Heavyweight","Tito Ortiz (c)","Ken Shamrock","TKO","3","5:00","(corner stoppage)"
"Light Heavyweight","Chuck Liddell","Renato Sobral","TKO","1","2:55","(head kick and punches)"
"Welterweight","Matt Hughes (c)","Gil Castillo","TKO","1","5:00","(cut)"
"Welterweight","Carlos Newton","Pete Spratt","Submission","1","1:45","(kimura)"
"Welterweight","Robbie Lawler","Tiki Ghosn","KO","1","1:29","(punches)"
"Heavyweight","Andrei Arlovski","Ian Freeman","TKO","1","1:25","(punches)"
"Heavyweight","Vladimir Matyushenko","Travis Wiuff","Submission","1","4:10","(punches)"
"Middleweight","Phillip Miller","Mark Weir","Submission","2","4:50","(rear-naked choke)"
"Heavyweight","Ricco Rodriguez","Randy Couture","Submission","5","3:04","(elbow)"
"Heavyweight","Tim Sylvia","Wesley Correira","TKO","2","1:43","(corner stoppage)"
"Lightweight","B.J. Penn","Matt Serra","Decision","3","5:00","(unanimous)"
"Lightweight","Caol Uno","Din Thomas","Decision","3","5:00","(unanimous)"
"Heavyweight","Gan McGee","Pedro Rizzo","TKO","1","5:00","(corner stoppage)"
"Middleweight","Phil Baroni","Dave Menne","KO","1","0:18","(punches)"
"Middleweight","Matt Lindland","Ivan Salaverry","Decision","3","5:00","(unanimous)"
"Welterweight","Sean Sherk","Benji Radach","TKO","1","4:16","(doctor stoppage)"
"Welterweight","Matt Hughes (c)","Carlos Newton","TKO","4","3:27","(punches)"
"Heavyweight","Ian Freeman","Frank Mir","TKO","1","4:35","(punches)"
"Middleweight","Mark Weir","Eugene Jackson","KO","1","0:10","(punch)"
"Lightweight","Genki Sudo","Leigh Remedios","Submission","2","1:38","(rear-naked choke)"
"Light Heavyweight","Phillip Miller","James Zikic","Decision","3","5:00","(unanimous)"
"Light Heavyweight","Renato Sobral","Elvis Sinosic","Decision","3","5:00","(unanimous)"
"Light Heavyweight","Evan Tanner","Chris Haseman","Decision","3","5:00","(unanimous)"
"Light Heavyweight","Chuck Liddell","Vitor Belfort","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Welterweight","Benji Radach","Nick Serra","Decision","3","5:00","(unanimous) (29–28, 30–27, 30–27)"
"Welterweight","Pete Spratt","Zach Light","Submission","1","2:25","(armbar)"
"Welterweight","Robbie Lawler","Steve Berger","TKO","2","0:27","(punches)"
"Middleweight","Tony Fryklund","Rodrigo Ruas","TKO","2","3:34","(punches)"
"Lightweight","Yves Edwards","Joao Marcos Pierini","TKO","1","1:19","(injury)"
"Middleweight","Murilo Bustamante (c)","Matt Lindland","Submission","3","1:33","(guillotine choke)"
"Heavyweight","Ricco Rodriguez","Tsuyoshi Kosaka","TKO","2","3:25","(punches)"
"Lightweight","B.J. Penn","Paul Creighton","TKO","2","3:23","(punches)"
"Middleweight","Phil Baroni","Amar Suloev","TKO","1","2:55","(punches)"
"Lightweight","Caol Uno","Yves Edwards","Decision","3","5:00","(unanimous)"
"Middleweight","Ivan Salaverry","Andrei Semenov","TKO","3","2:27","(punches)"
"Welterweight","Benji Radach","Steve Berger","No Contest","1","0:27",""
"Welterweight","Robbie Lawler","Aaron Riley","Decision","3","5:00","(unanimous)"
"Heavyweight","Josh Barnett","Randy Couture (c)","TKO","2","4:35","(punches)"
"Heavyweight","Pedro Rizzo","Andrei Arlovski","KO","3","1:45","(punches)"
"Welterweight","Matt Hughes (c)","Hayato Sakurai","TKO","4","3:01","(punches)"
"Middleweight","Matt Lindland","Pat Miletich","TKO","1","3:09","(punches)"
"Light Heavyweight","Evan Tanner","Elvis Sinosic","TKO","1","2:06","(cut)"
"Heavyweight","Frank Mir","Pete Williams","Submission","1","0:46","(Inside Shoulder Lock)"
"Lightweight","Matt Serra","Kelly Dullanty","Submission","1","2:58","(triangle choke)"
"Welterweight","Sean Sherk","Jutaro Nakao","Decision","3","5:00","(unanimous)"
"Lightweight","Jens Pulver (c)","B.J. Penn","Decision","5","5:00","(majority) (48–45, 47–47, 48–47)"
"Heavyweight","Ricco Rodriguez","Jeff Monson","TKO","3","3:00","(punches)"
"Middleweight","Murilo Bustamante","Dave Menne (c)","TKO","2","0:44","(punches)"
"Light Heavyweight","Chuck Liddell","Amar Suloev","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Middleweight","Andrei Semenov","Ricardo Almeida","TKO","2","2:01","(punches)"
"Light Heavyweight","Kevin Randleman","Renato Sobral","Decision","3","5:00","(unanimous) (30–26, 30–26, 30–25)"
