"Weight.class","Winner","Loser","Method","Round","Time","Method.details"
"Light Heavyweight","Francimar Barroso","Elvis Mutapcic","Decision","3","5:00","(unanimous) (30-27, 29-28, 30-27)"
"Welterweight","Robbie Lawler (c)","Carlos Condit","Decision","5","5:00","(split) (47-48, 48-47, 48-47)"
"Heavyweight","Stipe Miocic","Andrei Arlovski","TKO","1","0:54","(punches)"
"Welterweight","Albert Tumenov","Lorenz Larkin","Decision","3","5:00","(split) (29-28, 28-29, 29-28)"
"Featherweight","Brian Ortega","Diego Brandão","Submission","3","1:37","(triangle choke)"
"Lightweight","Abel Trujillo","Tony Sims","Submission","1","3:18","(guillotine choke)"
"Bantamweight","Michael McDonald","Masanori Kanehara","Submission","2","2:09","(rear-naked choke)"
"Welterweight","Alex Morono","Kyle Noke","Decision","3","5:00","(split) (29-28, 27-30, 29-28)"
"Women's Strawweight","Justine Kish","Nina Ansaroff","Decision","3","5:00","(unanimous) (29-28, 30-27, 30-27)"
"Lightweight","Drew Dober","Scott Holtzman","Decision","3","5:00","(unanimous) (29-28, 29-28, 29-28)"
"Lightweight","Dustin Poirier","Joseph Duffy","Decision","3","5:00","(unanimous) (30-26, 30-27, 30-27)"
"Bantamweight","Michinori Tanaka","Joe Soto","Decision","3","5:00","(split) (29-28, 28-29, 29-28)"
"Welterweight","Sheldon Westcott","Edgar García","TKO","1","3:12","(punches)"
"Lightweight","Rafael dos Anjos (c)","Donald Cerrone","TKO","1","1:06","(body kick and punches)"
"Heavyweight","Alistair Overeem","Junior dos Santos","TKO","2","4:43","(punches)"
"Lightweight","Nate Diaz","Michael Johnson","Decision","3","5:00","(unanimous) (29-28, 29-28, 29-28)"
"Women's Strawweight","Karolina Kowalkiewicz","Randa Markos","Decision","3","5:00","(unanimous) (29-28, 29-28, 30-27)"
"Catchweight (150.5 lbs)","Charles Oliveira","Myles Jury","Submission","1","3:05","(guillotine choke)"
"Middleweight","Nate Marquardt","C.B. Dollaway","KO","2","0:28","(punch)"
"Women's Bantamweight","Valentina Shevchenko","Sarah Kaufman","Decision","3","5:00","(split) (28-29, 29-28, 29-28)"
"Middleweight","Tamdan McCrory","Josh Samman","Submission","3","4:10","(triangle choke)"
"Lightweight","Nik Lentz","Danny Castillo","Decision","3","5:00","(split) (28-29, 29-28, 30-27)"
"Featherweight","Cole Miller","Jim Alers","No Contest","2","1:44","(accidental eye poke)"
"Welterweight","Kamaru Usman","Leon Edwards","Decision","3","5:00","(unanimous) (29-28, 30-27, 29-28)"
"Welterweight","Vicente Luque","Hayder Hassan","Submission","1","2:13","Technical  (anaconda choke)"
"Heavyweight","Francis Ngannou","Luis Henrique","KO","2","2:53","(punch)"
"Featherweight","Conor McGregor (ic)","José Aldo (c)","KO","1","0:13","(punch)"
"Middleweight","Luke Rockhold","Chris Weidman (c)","TKO","4","3:12","(punches)"
"Middleweight","Yoel Romero","Ronaldo Souza","Decision","3","5:00","(split) (29-27, 28-29, 29-28)"
"Welterweight","Demian Maia","Gunnar Nelson","Decision","3","5:00","(unanimous) (30-26, 30-25, 30-25)"
"Featherweight","Max Holloway","Jeremy Stephens","Decision","3","5:00","(unanimous) (30-27, 30-27, 29-28)"
"Bantamweight","Urijah Faber","Frankie Saenz","Decision","3","5:00","(unanimous) (29-28, 29-28, 30-27)"
"Women's Strawweight","Tecia Torres","Jocelyn Jones-Lybarger","Decision","3","5:00","(unanimous) (30-27, 30-27, 30-27)"
"Welterweight","Warlley Alves","Colby Covington","Submission","1","1:26","(guillotine choke)"
"Lightweight","Leonardo Santos","Kevin Lee","TKO","1","3:26","(punches)"
"Lightweight","Magomed Mustafaev","Joe Proctor","TKO","1","1:54","(knees and punches)"
"Lightweight","Yancy Medeiros","John Makdessi","Decision","3","5:00","(split) (29-28, 28-29, 29-28)"
"Welterweight","Court McGee","Márcio Alexandre Jr.","Decision","3","5:00","(unanimous) (30-27, 29-28, 29-28)"
"Featherweight","Frankie Edgar","Chad Mendes","KO","1","2:28","(punch)"
